Index,ZIP,OneFoot,TwoFoot,ThreeFoot,FourFoot,FiveFoot,SixFoot,SevenFoot,EightFoot,NineFoot,TenFoot
1,94404,88.6,96.2,98,98.6,98.9,99.1,99.4,99.5,99.6,99.7
2,94065,94.6,96.8,97.2,97.6,98,98.3,98.6,98.9,99.1,99.2
3,94128,13.7,26.2,50.4,76.7,90.4,98,99.6,100,100,100
4,94403,33.9,37.5,41,43.4,45.8,46.8,47.5,48,48.7,49.2
5,94401,31.4,35.5,38.9,41.5,43.5,45.3,47.2,49.3,51.4,53.6
6,94063,4.5,11.9,18.6,24.4,31.8,36.4,41,47.5,53.6,57.8
7,94402,8.4,11.3,12.5,13.5,14.7,16,17.3,18.8,20,21.4
8,94025,1.3,2.7,4.1,5.6,6.7,7.8,9,10.1,11.4,12.6
9,94002,0.2,0.6,1.7,3.7,6.2,8.3,9.2,9.8,10.5,11
10,94066,0.9,1.7,2.7,3.6,4.4,5,5.6,6.3,6.9,7.6
11,94030,0.9,1.3,2.1,2.9,3.8,4.5,5.1,5.5,6.1,6.7
12,94010,0,0.1,0.3,0.9,2,4.1,6.1,8,9.4,10.7
13,94060,0.1,0.2,0.4,0.9,1.7,2.7,3.8,4.7,5.3,6.4
14,94070,0,0.2,0.6,1.1,1.7,2.1,2.5,2.7,3,3.3
15,94044,0.1,0.1,0.2,0.3,0.5,0.9,1.3,1.7,2.3,3.1
16,94038,0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.8,0.9
17,94074,0,0,0.1,0.2,0.2,0.4,0.8,1.1,1.4,1.5
18,94037,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1
19,94080,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3
20,94062,0,0,0,0,0,0,0.1,0.1,0.4,1.3
21,94005,0,0,0,0,0,0,0.3,0.8,1.3,1.8
22,94061,0,0,0,0,0,0,0,0,0,0.3
23,94015,0,0,0,0,0,0,0,0,0,0
24,94014,0,0,0,0,0,0,0,0,0.1,0.1
25,94019,0,0,0,0,0,0.1,0.1,0.2,0.2,0.2
